iter,reward_mean,reward_std,reward_max,best_goal_rate,best_collision_rate,best_timeup_rate,best_avg_steps,best_avg_task_completion,v0,v1,v2,v3,v4,v5,v6
1,-630.5343627929688,255.3206329345703,-217.1999969482422,0.0,0.3499999940395355,0.699999988079071,83.44999694824219,12.399999618530273,0.9404415488243103,1.066437840461731,1.1793431043624878,0.9686697721481323,1.0749616622924805,-1.1734546422958374,2.3808863162994385
2,-398.0375061035156,75.51905059814453,-213.0,0.0,0.3499999940395355,0.6499999761581421,83.25,12.899999618530273,0.9219456911087036,0.9541791677474976,1.2957333326339722,0.9771820902824402,1.1718027591705322,-1.2462352514266968,2.461721897125244
3,-454.20001220703125,72.07881164550781,-279.6000061035156,0.0,0.4000000059604645,0.6000000238418579,77.0999984741211,11.199999809265137,0.7805085778236389,0.9050991535186768,1.1205796003341675,1.1185362339019775,1.099396824836731,-1.2734097242355347,2.5019614696502686
4,-459.17498779296875,60.474605560302734,-342.1000061035156,0.0,0.5,0.5,73.8499984741211,11.25,0.683161199092865,0.8963128328323364,1.1239396333694458,1.1449004411697388,1.2185351848602295,-1.3581703901290894,2.583014965057373
5,-483.87188720703125,77.43633270263672,-309.70001220703125,0.0,0.4000000059604645,0.6000000238418579,70.44999694824219,10.850000381469727,0.6376165747642517,0.9188985228538513,1.1446419954299927,1.230746865272522,1.129946231842041,-1.3652061223983765,2.756073236465454
6,-396.35626220703125,69.15074157714844,-244.0,0.0,0.4000000059604645,0.6000000238418579,81.25,13.100000381469727,0.7311400175094604,0.9163533449172974,1.0619720220565796,1.0336196422576904,1.167079210281372,-1.4164525270462036,2.9008278846740723
7,-381.3500061035156,172.44320678710938,44.5,0.0,0.0,1.0,100.0,14.449999809265137,0.674688994884491,0.8923673033714294,1.0816516876220703,1.0159026384353638,1.3286784887313843,-1.4205883741378784,3.117959499359131
8,-3.4781246185302734,156.40167236328125,52.5,0.0,0.0,1.0,100.0,15.25,0.5845816731452942,0.7855774164199829,0.990156352519989,1.0684057474136353,1.3959498405456543,-1.3859212398529053,3.363039016723633
9,38.453125,6.347193717956543,48.0,0.0,0.0,1.0,100.0,14.800000190734863,0.5849680304527283,0.8740828037261963,1.0288902521133423,0.9797632694244385,1.1774282455444336,-1.2386255264282227,3.3702445030212402
10,44.79999923706055,6.712813854217529,50.5,0.0,0.0,1.0,100.0,15.050000190734863,0.5448021292686462,0.8772336840629578,1.0058106184005737,1.0187159776687622,1.0997570753097534,-1.0899920463562012,3.508263349533081
11,47.5625,4.322452068328857,54.0,0.0,0.0,1.0,100.0,15.399999618530273,0.538632333278656,1.0442990064620972,1.020127534866333,1.243918776512146,0.9242663383483887,-1.0402238368988037,3.4157352447509766
12,45.375,6.753471374511719,57.5,0.0,0.0,1.0,100.0,15.75,0.5430766344070435,0.8944985866546631,1.0685491561889648,1.0663996934890747,0.9578845500946045,-1.000588297843933,3.4632320404052734
13,49.15625,2.799099922180176,55.0,0.0,0.0,1.0,100.0,15.5,0.5481708645820618,0.9771327972412109,1.1096487045288086,1.2515746355056763,0.8856543898582458,-1.021148681640625,3.3335063457489014
14,51.203125,2.4870269298553467,56.5,0.0,0.0,1.0,100.0,15.649999618530273,0.6947888135910034,0.8117896318435669,1.1549744606018066,1.4022166728973389,0.9098144769668579,-1.0564696788787842,3.318732261657715
15,52.921875,2.918447256088257,58.0,0.0,0.0,1.0,100.0,15.800000190734863,0.8643651008605957,0.8145197629928589,1.2983540296554565,1.4884474277496338,1.045485019683838,-0.9548771381378174,3.3006136417388916
16,52.390625,4.394126892089844,61.0,0.0,0.0,1.0,100.0,16.100000381469727,0.9398013353347778,0.935596764087677,1.411771297454834,1.3815407752990723,1.1430974006652832,-1.0680387020111084,3.3764798641204834
17,15.25,12.323833465576172,31.600000381469727,0.0,0.05000000074505806,0.949999988079071,99.6500015258789,15.800000190734863,0.9023339152336121,0.9033393859863281,1.4452000856399536,1.439258337020874,1.0913052558898926,-1.2029582262039185,3.347482681274414
18,50.921875,3.5468060970306396,57.0,0.0,0.0,1.0,100.0,15.699999809265137,0.9304426908493042,0.9439943432807922,1.4905200004577637,1.6044611930847168,1.165081262588501,-1.3457521200180054,3.303561210632324
19,53.71875,3.926945209503174,61.0,0.0,0.0,1.0,100.0,16.100000381469727,1.1129093170166016,0.9612208604812622,1.5659762620925903,1.6103383302688599,0.9495519399642944,-1.285711407661438,3.0179975032806396
20,-162.9375,275.0418701171875,49.0,0.0,0.0,1.0,100.0,14.899999618530273,1.1472305059432983,0.9812780022621155,1.6343395709991455,1.7023799419403076,1.0005263090133667,-1.264910101890564,3.532533645629883
21,52.59375,4.133395671844482,61.5,0.0,0.0,1.0,100.0,16.149999618530273,1.1377638578414917,0.9158206582069397,1.6731538772583008,1.632279634475708,0.886792778968811,-1.2991938591003418,3.4622106552124023
22,54.0,2.6663410663604736,60.0,0.0,0.0,1.0,100.0,16.0,1.116076946258545,0.9241853952407837,1.7027736902236938,1.6952859163284302,0.8899707198143005,-1.197435736656189,3.444816827774048
