iter,reward_mean,reward_std,reward_max,best_goal_rate,best_collision_rate,best_timeup_rate,best_avg_steps,best_avg_task_completion,v0,v1,v2,v3
1,-40.27187728881836,85.35104370117188,9.0,0.0,0.0,1.0,100.0,10.899999618530273,3.438697338104248,0.89226895570755,1.2255303859710693,-0.996476948261261
2,6.59375,1.4865937232971191,9.5,0.0,0.0,1.0,100.0,10.949999809265137,3.46368670463562,0.899934709072113,1.1864385604858398,-1.0361627340316772
3,4.625,2.744312286376953,11.5,0.0,0.0,1.0,100.0,11.149999618530273,3.3686697483062744,0.9176299571990967,1.1717653274536133,-1.0785841941833496
4,5.046875,2.670321226119995,9.5,0.0,0.0,1.0,100.0,10.949999809265137,3.2411293983459473,0.9954535961151123,1.2990622520446777,-1.0989832878112793
5,-18.493749618530273,79.56705474853516,7.0,0.0,0.0,1.0,100.0,10.699999809265137,3.540734052658081,0.9893313050270081,1.1904712915420532,-1.1420958042144775
6,6.015625,4.327391624450684,12.0,0.0,0.0,1.0,100.0,11.199999809265137,3.456249952316284,1.0205183029174805,1.249428153038025,-1.0647003650665283
7,4.03125,2.5215864181518555,8.0,0.0,0.0,1.0,100.0,10.800000190734863,3.470034599304199,0.9706029891967773,1.4189040660858154,-1.0484172105789185
8,1.953125,1.674064040184021,5.5,0.0,0.0,1.0,100.0,10.550000190734863,3.4711170196533203,0.9273600578308105,1.3174480199813843,-1.1033539772033691
9,3.5,3.3680484294891357,10.0,0.0,0.0,1.0,100.0,11.0,3.5559492111206055,0.9978736042976379,1.375831961631775,-1.1811554431915283
10,7.15625,1.4760457277297974,10.0,0.0,0.0,1.0,100.0,11.0,3.4510128498077393,1.2101250886917114,1.2839272022247314,-1.1067495346069336
11,1.640625,1.404425859451294,4.5,0.0,0.0,1.0,100.0,10.449999809265137,3.3499536514282227,1.237598180770874,1.2396363019943237,-0.9638473987579346
12,2.75,3.570714235305786,7.5,0.0,0.0,1.0,100.0,10.75,3.284898281097412,1.2879759073257446,1.3655816316604614,-1.044395923614502
13,2.0625,1.6092991828918457,6.0,0.0,0.0,1.0,100.0,10.600000381469727,3.1568479537963867,1.3338772058486938,1.3791180849075317,-1.106033205986023
14,-17.39375114440918,71.87153625488281,6.5,0.0,0.0,1.0,100.0,10.649999618530273,3.411191463470459,1.4081934690475464,1.3544195890426636,-1.1074467897415161
15,5.65625,2.463602304458618,10.0,0.0,0.0,1.0,100.0,11.0,3.466586112976074,1.3904647827148438,1.2523218393325806,-1.1212815046310425
16,5.9375,2.442302942276001,10.0,0.0,0.0,1.0,100.0,11.0,3.5156073570251465,1.467721939086914,1.1627289056777954,-1.2130084037780762
17,6.671875,4.204925060272217,13.0,0.0,0.0,1.0,100.0,11.300000190734863,3.523007392883301,1.4167109727859497,1.3149003982543945,-1.164505124092102
18,7.640625,1.4536288976669312,10.0,0.0,0.0,1.0,100.0,11.0,3.5506906509399414,1.3961055278778076,1.1083769798278809,-1.1661759614944458
