iter,reward_mean,reward_std,reward_max,best_goal_rate,best_collision_rate,best_timeup_rate,best_avg_steps,best_avg_task_completion,v0,v1
1,7.181250095367432,49.790245056152344,103.4000015258789,0.0,0.05000000074505806,0.949999988079071,97.5999984741211,23.799999237060547,0.9958086609840393,1.1120949983596802
2,43.853126525878906,60.05146789550781,120.5,0.0,0.0,1.0,100.0,22.049999237060547,0.9053516387939453,1.402217984199524
3,79.859375,51.19878387451172,130.5,0.0,0.0,1.0,100.0,23.049999237060547,0.8568657040596008,1.241430401802063
4,92.1156234741211,36.626426696777344,124.0,0.0,0.0,1.0,100.0,22.399999618530273,0.8973905444145203,1.33707594871521
5,71.15937805175781,34.01175308227539,123.5,0.0,0.0,1.0,100.0,22.350000381469727,0.8459816575050354,1.4737504720687866
6,63.234375,25.515565872192383,109.5,0.0,0.0,1.0,100.0,20.950000762939453,0.8526164889335632,1.7223248481750488
7,40.025001525878906,42.30033874511719,109.5,0.0,0.0,1.0,100.0,20.950000762939453,0.8559743762016296,1.9285786151885986
8,41.76250076293945,30.336238861083984,93.5,0.0,0.0,1.0,100.0,19.350000381469727,0.9973627924919128,1.9679282903671265
9,76.5625,32.209049224853516,137.0,0.0,0.0,1.0,100.0,23.700000762939453,0.8801249861717224,1.835510492324829
10,59.234375,34.3347282409668,106.0,0.0,0.0,1.0,100.0,20.600000381469727,0.8900225758552551,1.7442784309387207
11,94.66874694824219,19.734954833984375,111.5,0.0,0.0,1.0,100.0,21.149999618530273,0.761163592338562,1.671933650970459
12,23.71875,37.651554107666016,103.0,0.0,0.0,1.0,100.0,20.299999237060547,0.902464747428894,2.0210537910461426
13,73.171875,18.388824462890625,107.5,0.0,0.0,1.0,100.0,20.75,0.8733609914779663,1.8951444625854492
14,68.05937194824219,41.978973388671875,138.0,0.0,0.0,1.0,100.0,23.799999237060547,0.8117214441299438,1.8310716152191162
15,57.88125228881836,23.924692153930664,118.0,0.0,0.0,1.0,100.0,21.799999237060547,0.7472542524337769,1.5828962326049805
16,-40.37812805175781,42.74529266357422,42.599998474121094,0.0,0.10000000149011612,0.8999999761581421,96.1500015258789,20.799999237060547,0.9236685037612915,1.5301936864852905
17,39.765625,34.81570816040039,100.0,0.0,0.0,1.0,100.0,20.0,0.9945189356803894,1.5102330446243286
18,44.5,47.83369445800781,109.0,0.0,0.0,1.0,100.0,20.899999618530273,1.0642681121826172,1.456515908241272
19,86.61249542236328,17.588043212890625,107.5,0.0,0.0,1.0,100.0,20.75,1.0771543979644775,1.4146904945373535
