iter,reward_mean,reward_std,reward_max,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9
1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
1,-861.3499755859375,240.1488494873047,-445.3999938964844,1.0040702819824219,1.101105809211731,1.1768735647201538,-0.015383806079626083,1000.054931640625,1.175089955329895,-0.22126899659633636,0.04937952756881714,0.08754327893257141,0.2827865481376648
2,-1000.0,0.0,-1000.0,1.0040702819824219,1.101105809211731,1.1768735647201538,-0.015383806079626083,1000.054931640625,1.175089955329895,-0.22126899659633636,0.04937952756881714,0.08754327893257141,0.2827865481376648
3,-1000.0,0.0,-1000.0,1.0040702819824219,1.101105809211731,1.1768735647201538,-0.015383806079626083,1000.054931640625,1.175089955329895,-0.22126899659633636,0.04937952756881714,0.08754327893257141,0.2827865481376648
4,-1000.0,0.0,-1000.0,1.0040702819824219,1.101105809211731,1.1768735647201538,-0.015383806079626083,1000.054931640625,1.175089955329895,-0.22126899659633636,0.04937952756881714,0.08754327893257141,0.2827865481376648
5,-748.512451171875,388.66192626953125,-97.5999984741211,1.2025537490844727,1.0617122650146484,1.025938630104065,-0.16977977752685547,1000.0628051757812,1.2174499034881592,-0.3211613595485687,-0.005640357732772827,0.2399662584066391,0.5307031869888306
6,-833.6875,246.68130493164062,-467.79998779296875,1.2406914234161377,1.219099998474121,0.8848079442977905,-0.17589916288852692,999.9793701171875,1.0913054943084717,-0.5496623516082764,0.12005119025707245,0.14798545837402344,0.44638967514038086
7,-1000.0,0.0,-1000.0,1.2406914234161377,1.219099998474121,0.8848079442977905,-0.17589916288852692,999.9793701171875,1.0913054943084717,-0.5496623516082764,0.12005119025707245,0.14798545837402344,0.44638967514038086
8,-1000.0,0.0,-1000.0,1.2406914234161377,1.219099998474121,0.8848079442977905,-0.17589916288852692,999.9793701171875,1.0913054943084717,-0.5496623516082764,0.12005119025707245,0.14798545837402344,0.44638967514038086
