param,value,delta,reward_mean
goal_weight,-1.144,-2.00,4.100000
goal_weight,-1.044,-1.90,4.100000
goal_weight,-0.944,-1.80,4.100000
goal_weight,-0.844,-1.70,4.100000
goal_weight,-0.744,-1.60,4.100000
goal_weight,-0.644,-1.50,4.170000
goal_weight,-0.544,-1.40,4.170000
goal_weight,-0.444,-1.30,4.170000
goal_weight,-0.344,-1.20,10.430000
goal_weight,-0.244,-1.10,10.430000
goal_weight,-0.144,-1.00,15.810000
goal_weight,-0.044,-0.90,22.410000
goal_weight,0.056,-0.80,28.414043
goal_weight,0.156,-0.70,21.724043
goal_weight,0.256,-0.60,21.814043
goal_weight,0.356,-0.50,21.954043
goal_weight,0.456,-0.40,22.064043
goal_weight,0.556,-0.30,21.994043
goal_weight,0.656,-0.20,22.324043
goal_weight,0.756,-0.10,22.214043
goal_weight,0.856,0.00,28.464043
goal_weight,0.956,0.10,28.314043
goal_weight,1.056,0.20,28.284043
goal_weight,1.156,0.30,37.600000
goal_weight,1.256,0.40,37.450000
goal_weight,1.356,0.50,37.130000
goal_weight,1.456,0.60,37.210000
goal_weight,1.556,0.70,43.440000
goal_weight,1.656,0.80,44.020000
goal_weight,1.756,0.90,43.710000
goal_weight,1.856,1.00,43.820000
goal_weight,1.956,1.10,43.520000
goal_weight,2.056,1.20,50.300000
goal_weight,2.156,1.30,50.240000
goal_weight,2.256,1.40,50.230000
goal_weight,2.356,1.50,50.670000
goal_weight,2.456,1.60,50.800000
goal_weight,2.556,1.70,51.320000
goal_weight,2.656,1.80,51.270000
goal_weight,2.756,1.90,51.490000
goal_weight,2.856,2.00,51.480000
pick_weight,-1.910,-2.00,50.310000
pick_weight,-1.810,-1.90,50.290000
pick_weight,-1.710,-1.80,44.440000
pick_weight,-1.610,-1.70,38.260000
pick_weight,-1.510,-1.60,38.400000
pick_weight,-1.410,-1.50,38.290000
pick_weight,-1.310,-1.40,38.060000
pick_weight,-1.210,-1.30,30.113830
pick_weight,-1.110,-1.20,36.233830
pick_weight,-1.010,-1.10,43.800000
pick_weight,-0.910,-1.00,29.839787
pick_weight,-0.810,-0.90,29.749787
pick_weight,-0.710,-0.80,29.559787
pick_weight,-0.610,-0.70,31.130000
pick_weight,-0.510,-0.60,31.380000
pick_weight,-0.410,-0.50,13.323830
pick_weight,-0.310,-0.40,19.083830
pick_weight,-0.210,-0.30,28.244043
pick_weight,-0.110,-0.20,28.234043
pick_weight,-0.010,-0.10,28.274043
pick_weight,0.090,0.00,28.464043
pick_weight,0.190,0.10,22.434043
pick_weight,0.290,0.20,22.234043
pick_weight,0.390,0.30,22.024043
pick_weight,0.490,0.40,21.874043
pick_weight,0.590,0.50,30.940000
pick_weight,0.690,0.60,30.960000
pick_weight,0.790,0.70,30.850000
pick_weight,0.890,0.80,30.830000
pick_weight,0.990,0.90,30.870000
pick_weight,1.090,1.00,30.870000
pick_weight,1.190,1.10,30.780000
pick_weight,1.290,1.20,30.780000
pick_weight,1.390,1.30,30.740000
pick_weight,1.490,1.40,30.740000
pick_weight,1.590,1.50,30.740000
pick_weight,1.690,1.60,30.740000
pick_weight,1.790,1.70,30.620000
pick_weight,1.890,1.80,30.620000
pick_weight,1.990,1.90,21.390851
pick_weight,2.090,2.00,21.390851
drop_weight,-1.239,-2.48,47.080000
drop_weight,-1.115,-2.35,47.080000
drop_weight,-0.991,-2.23,47.080000
drop_weight,-0.867,-2.11,47.080000
drop_weight,-0.743,-1.98,40.450000
drop_weight,-0.619,-1.86,40.450000
drop_weight,-0.496,-1.73,40.450000
drop_weight,-0.372,-1.61,40.450000
drop_weight,-0.248,-1.49,40.450000
drop_weight,-0.124,-1.36,46.910000
drop_weight,0.000,-1.24,46.620000
drop_weight,0.124,-1.12,46.180000
drop_weight,0.248,-0.99,52.450000
drop_weight,0.372,-0.87,51.500000
drop_weight,0.496,-0.74,50.650000
drop_weight,0.619,-0.62,37.110000
drop_weight,0.743,-0.50,37.800000
