param,value,delta,reward_mean
goal_weight,-2.004,-4.01,-302.841230
goal_weight,-1.803,-3.81,-302.841230
goal_weight,-1.603,-3.61,-302.841230
goal_weight,-1.403,-3.41,-302.841230
goal_weight,-1.202,-3.21,-302.841230
goal_weight,-1.002,-3.01,-302.841230
goal_weight,-0.802,-2.81,-302.841230
goal_weight,-0.601,-2.60,-302.841230
goal_weight,-0.401,-2.40,-302.841230
goal_weight,-0.200,-2.20,-302.631230
goal_weight,0.000,-2.00,-281.513452
goal_weight,0.200,-1.80,-318.992460
goal_weight,0.401,-1.60,-318.230687
goal_weight,0.601,-1.40,-345.269958
goal_weight,0.802,-1.20,-357.478592
goal_weight,1.002,-1.00,-360.184970
goal_weight,1.202,-0.80,-338.738278
goal_weight,1.403,-0.60,-320.022926
goal_weight,1.603,-0.40,-334.792926
goal_weight,1.803,-0.20,-334.566014
goal_weight,2.004,0.00,-320.966014
goal_weight,2.204,0.20,-320.036014
goal_weight,2.405,0.40,-327.841603
goal_weight,2.605,0.60,-320.066226
goal_weight,2.805,0.80,-323.400636
goal_weight,3.006,1.00,-324.700636
goal_weight,3.206,1.20,-323.830636
goal_weight,3.406,1.40,-330.227744
goal_weight,3.607,1.60,-351.060814
goal_weight,3.807,1.80,-350.820814
goal_weight,4.008,2.00,-351.140814
goal_weight,4.208,2.20,-350.930814
goal_weight,4.408,2.40,-351.000814
goal_weight,4.609,2.60,-350.840814
goal_weight,4.809,2.81,-350.620814
goal_weight,5.010,3.01,-350.590814
goal_weight,5.210,3.21,-350.250814
goal_weight,5.410,3.41,-350.250814
goal_weight,5.611,3.61,-363.280814
goal_weight,5.811,3.81,-363.280814
goal_weight,6.011,4.01,-363.280814
pick_weight,-1.202,-2.00,-309.855038
pick_weight,-1.102,-1.90,-309.855038
pick_weight,-1.002,-1.80,-309.855038
pick_weight,-0.902,-1.70,-309.855038
pick_weight,-0.802,-1.60,-309.855038
pick_weight,-0.702,-1.50,-309.855038
pick_weight,-0.602,-1.40,-309.855038
pick_weight,-0.502,-1.30,-309.855038
pick_weight,-0.402,-1.20,-309.515038
pick_weight,-0.302,-1.10,-309.515038
pick_weight,-0.202,-1.00,-296.445038
pick_weight,-0.102,-0.90,-296.445038
pick_weight,-0.002,-0.80,-308.315038
pick_weight,0.098,-0.70,-344.238414
pick_weight,0.198,-0.60,-330.728414
pick_weight,0.298,-0.50,-322.323198
pick_weight,0.398,-0.40,-322.253198
pick_weight,0.498,-0.30,-314.825047
pick_weight,0.598,-0.20,-304.345047
pick_weight,0.698,-0.10,-320.036014
pick_weight,0.798,0.00,-320.966014
pick_weight,0.898,0.10,-334.566014
pick_weight,0.998,0.20,-334.312926
pick_weight,1.098,0.30,-319.542926
pick_weight,1.198,0.40,-331.732926
pick_weight,1.298,0.50,-331.512926
pick_weight,1.398,0.60,-325.328278
pick_weight,1.498,0.70,-348.229245
