param,value,delta,reward_mean
goal_weight,-3.624,-7.25,-365.250000
goal_weight,-3.262,-6.89,-365.250000
goal_weight,-2.899,-6.52,-365.250000
goal_weight,-2.537,-6.16,-365.250000
goal_weight,-2.175,-5.80,-365.250000
goal_weight,-1.812,-5.44,-365.250000
goal_weight,-1.450,-5.07,-365.250000
goal_weight,-1.087,-4.71,-365.250000
goal_weight,-0.725,-4.35,-365.250000
goal_weight,-0.362,-3.99,-365.250000
goal_weight,0.000,-3.62,-364.360000
goal_weight,0.362,-3.26,-364.530000
goal_weight,0.725,-2.90,-364.530000
goal_weight,1.087,-2.54,-364.530000
goal_weight,1.450,-2.17,-364.540000
goal_weight,1.812,-1.81,-364.600000
goal_weight,2.175,-1.45,-364.540000
goal_weight,2.537,-1.09,-362.080000
goal_weight,2.899,-0.72,-362.080000
goal_weight,3.262,-0.36,-361.920000
goal_weight,3.624,0.00,-362.170000
goal_weight,3.987,0.36,-362.170000
goal_weight,4.349,0.72,-361.620000
goal_weight,4.711,1.09,-361.620000
goal_weight,5.074,1.45,-362.210000
goal_weight,5.436,1.81,-362.210000
goal_weight,5.799,2.17,-361.750000
goal_weight,6.161,2.54,-359.940000
goal_weight,6.524,2.90,-358.970000
goal_weight,6.886,3.26,-358.970000
goal_weight,7.248,3.62,-358.970000
goal_weight,7.611,3.99,-359.220000
goal_weight,7.973,4.35,-359.220000
goal_weight,8.336,4.71,-360.350000
goal_weight,8.698,5.07,-360.350000
goal_weight,9.061,5.44,-359.470000
goal_weight,9.423,5.80,-359.470000
goal_weight,9.785,6.16,-359.470000
goal_weight,10.148,6.52,-359.470000
goal_weight,10.510,6.89,-359.470000
goal_weight,10.873,7.25,-359.470000
pick_weight,-1.940,-3.88,-357.680000
pick_weight,-1.746,-3.69,-357.680000
pick_weight,-1.552,-3.49,-358.040000
pick_weight,-1.358,-3.30,-358.040000
pick_weight,-1.164,-3.10,-358.040000
pick_weight,-0.970,-2.91,-360.580000
pick_weight,-0.776,-2.72,-360.580000
pick_weight,-0.582,-2.52,-361.550000
pick_weight,-0.388,-2.33,-361.750000
pick_weight,-0.194,-2.13,-361.750000
pick_weight,0.000,-1.94,-361.160000
pick_weight,0.194,-1.75,-362.170000
pick_weight,0.388,-1.55,-362.170000
pick_weight,0.582,-1.36,-362.170000
pick_weight,0.776,-1.16,-362.170000
pick_weight,0.970,-0.97,-362.170000
pick_weight,1.164,-0.78,-362.170000
pick_weight,1.358,-0.58,-362.170000
pick_weight,1.552,-0.39,-362.170000
pick_weight,1.746,-0.19,-362.170000
pick_weight,1.940,0.00,-362.170000
pick_weight,2.134,0.19,-362.170000
pick_weight,2.328,0.39,-362.170000
pick_weight,2.522,0.58,-362.170000
pick_weight,2.716,0.78,-362.170000
pick_weight,2.910,0.97,-361.710000
pick_weight,3.104,1.16,-361.710000
pick_weight,3.298,1.36,-361.460000
pick_weight,3.492,1.55,-361.460000
pick_weight,3.686,1.75,-361.460000
pick_weight,3.880,1.94,-361.460000
pick_weight,4.074,2.13,-360.830000
pick_weight,4.268,2.33,-360.830000
pick_weight,4.462,2.52,-360.830000
pick_weight,4.656,2.72,-360.830000
pick_weight,4.850,2.91,-360.830000
pick_weight,5.044,3.10,-361.160000
pick_weight,5.238,3.30,-361.160000
pick_weight,5.432,3.49,-361.160000
pick_weight,5.626,3.69,-361.160000
pick_weight,5.820,3.88,-361.160000
drop_weight,-2.397,-4.79,-373.660000
drop_weight,-2.157,-4.55,-373.660000
drop_weight,-1.917,-4.31,-373.660000
drop_weight,-1.678,-4.07,-373.660000
drop_weight,-1.438,-3.83,-375.470000
drop_weight,-1.198,-3.60,-374.130000
drop_weight,-0.959,-3.36,-374.130000
