param,value,delta,reward_mean
goal_weight,-2.916,-5.83,-215.405708
goal_weight,-2.625,-5.54,-215.405708
goal_weight,-2.333,-5.25,-215.405708
goal_weight,-2.042,-4.96,-215.405708
goal_weight,-1.750,-4.67,-215.405708
goal_weight,-1.458,-4.37,-215.405708
goal_weight,-1.167,-4.08,-215.405708
goal_weight,-0.875,-3.79,-215.405708
goal_weight,-0.583,-3.50,-214.035708
goal_weight,-0.292,-3.21,-213.935708
goal_weight,0.000,-2.92,-208.496981
goal_weight,0.292,-2.62,-198.993066
goal_weight,0.583,-2.33,-199.093066
goal_weight,0.875,-2.04,-181.692170
goal_weight,1.167,-1.75,-189.470849
goal_weight,1.458,-1.46,-196.845849
goal_weight,1.750,-1.17,-213.727170
goal_weight,2.042,-0.87,-184.172170
goal_weight,2.333,-0.58,-170.413868
goal_weight,2.625,-0.29,-169.963868
goal_weight,2.916,0.00,-159.203868
goal_weight,3.208,0.29,-171.833868
goal_weight,3.500,0.58,-171.723868
goal_weight,3.791,0.87,-183.913868
goal_weight,4.083,1.17,-184.023868
goal_weight,4.375,1.46,-184.193868
goal_weight,4.666,1.75,-193.763868
goal_weight,4.958,2.04,-193.873868
goal_weight,5.250,2.33,-193.603868
goal_weight,5.541,2.62,-194.083868
goal_weight,5.833,2.92,-193.373868
goal_weight,6.125,3.21,-193.373868
goal_weight,6.416,3.50,-193.373868
goal_weight,6.708,3.79,-193.373868
goal_weight,7.000,4.08,-193.673868
goal_weight,7.291,4.37,-193.463868
goal_weight,7.583,4.67,-193.883868
goal_weight,7.874,4.96,-193.883868
goal_weight,8.166,5.25,-193.883868
goal_weight,8.458,5.54,-194.053868
goal_weight,8.749,5.83,-194.053868
pick_weight,-1.198,-2.40,-224.373868
pick_weight,-1.078,-2.28,-224.573868
pick_weight,-0.958,-2.16,-216.293868
pick_weight,-0.838,-2.04,-216.293868
pick_weight,-0.719,-1.92,-216.293868
pick_weight,-0.599,-1.80,-217.003868
pick_weight,-0.479,-1.68,-217.113868
pick_weight,-0.359,-1.56,-217.563868
pick_weight,-0.240,-1.44,-217.933868
pick_weight,-0.120,-1.32,-207.143868
pick_weight,0.000,-1.20,-195.013868
pick_weight,0.120,-1.08,-183.143868
pick_weight,0.240,-0.96,-182.763868
pick_weight,0.359,-0.84,-183.323868
pick_weight,0.479,-0.72,-182.993868
pick_weight,0.599,-0.60,-182.993868
pick_weight,0.719,-0.48,-182.963868
pick_weight,0.838,-0.36,-183.303868
pick_weight,0.958,-0.24,-171.663868
pick_weight,1.078,-0.12,-170.703868
pick_weight,1.198,0.00,-159.203868
pick_weight,1.317,0.12,-158.983868
pick_weight,1.437,0.24,-158.243868
pick_weight,1.557,0.36,-158.243868
pick_weight,1.677,0.48,-158.243868
pick_weight,1.796,0.60,-169.443868
pick_weight,1.916,0.72,-169.093868
pick_weight,2.036,0.84,-169.093868
pick_weight,2.156,0.96,-169.093868
pick_weight,2.275,1.08,-169.593868
pick_weight,2.395,1.20,-169.583868
pick_weight,2.515,1.32,-169.583868
pick_weight,2.635,1.44,-169.583868
pick_weight,2.754,1.56,-173.502170
pick_weight,2.874,1.68,-173.162170
pick_weight,2.994,1.80,-173.162170
pick_weight,3.114,1.92,-184.262170
pick_weight,3.233,2.04,-184.152170
pick_weight,3.353,2.16,-184.152170
pick_weight,3.473,2.28,-184.152170
pick_weight,3.593,2.40,-184.152170
drop_weight,-1.383,-2.77,-216.336934
drop_weight,-1.244,-2.63,-216.336934
drop_weight,-1.106,-2.49,-216.436934
drop_weight,-0.968,-2.35,-216.436934
drop_weight,-0.830,-2.21,-216.436934
drop_weight,-0.691,-2.07,-229.676934
drop_weight,-0.553,-1.94,-229.556934
drop_weight,-0.415,-1.80,-229.556934
drop_weight,-0.277,-1.66,-229.586934
drop_weight,-0.138,-1.52,-230.456934
drop_weight,0.000,-1.38,-230.406934
drop_weight,0.138,-1.24,-220.086934
drop_weight,0.277,-1.11,-212.909858
drop_weight,0.415,-0.97,-201.659858
drop_weight,0.553,-0.83,-192.973868
drop_weight,0.691,-0.69,-182.373868
drop_weight,0.830,-0.55,-183.263868
drop_weight,0.968,-0.41,-183.293868
drop_weight,1.106,-0.28,-171.443868
drop_weight,1.244,-0.14,-171.663868
drop_weight,1.383,0.00,-159.203868
drop_weight,1.521,0.14,-159.173868
drop_weight,1.659,0.28,-170.183868
drop_weight,1.798,0.41,-170.413868
drop_weight,1.936,0.55,-193.943868
drop_weight,2.074,0.69,-205.093868
drop_weight,2.212,0.83,-206.852170
drop_weight,2.351,0.97,-214.917170
drop_weight,2.489,1.11,-224.557170
drop_weight,2.627,1.24,-235.927170
drop_weight,2.765,1.38,-224.717170
drop_weight,2.904,1.52,-213.797170
drop_weight,3.042,1.66,-222.316509
drop_weight,3.180,1.80,-213.847170
drop_weight,3.319,1.94,-194.662170
drop_weight,3.457,2.07,-194.652170
drop_weight,3.595,2.21,-194.272170
drop_weight,3.733,2.35,-192.429387
drop_weight,3.872,2.49,-192.429387
drop_weight,4.010,2.63,-192.429387
drop_weight,4.148,2.77,-192.579387
idle_bias,-1.755,-3.51,-158.953868
idle_bias,-1.580,-3.33,-158.953868
idle_bias,-1.404,-3.16,-158.953868
idle_bias,-1.229,-2.98,-158.953868
idle_bias,-1.053,-2.81,-158.953868
idle_bias,-0.878,-2.63,-158.953868
idle_bias,-0.702,-2.46,-158.953868
idle_bias,-0.527,-2.28,-158.953868
idle_bias,-0.351,-2.11,-158.953868
idle_bias,-0.176,-1.93,-158.953868
idle_bias,0.000,-1.76,-159.223868
idle_bias,0.176,-1.58,-159.203868
idle_bias,0.351,-1.40,-159.203868
idle_bias,0.527,-1.23,-159.203868
idle_bias,0.702,-1.05,-159.203868
idle_bias,0.878,-0.88,-159.203868
idle_bias,1.053,-0.70,-159.203868
idle_bias,1.229,-0.53,-159.203868
idle_bias,1.404,-0.35,-159.203868
idle_bias,1.580,-0.18,-159.203868
idle_bias,1.755,0.00,-159.203868
idle_bias,1.931,0.18,-159.203868
idle_bias,2.106,0.35,-159.203868
idle_bias,2.282,0.53,-159.203868
idle_bias,2.457,0.70,-159.203868
idle_bias,2.633,0.88,-159.203868
idle_bias,2.808,1.05,-159.203868
idle_bias,2.984,1.23,-159.203868
idle_bias,3.159,1.40,-159.203868
idle_bias,3.335,1.58,-159.203868
idle_bias,3.510,1.76,-159.203868
idle_bias,3.686,1.93,-159.203868
idle_bias,3.861,2.11,-159.203868
idle_bias,4.037,2.28,-159.203868
idle_bias,4.212,2.46,-159.203868
idle_bias,4.388,2.63,-159.203868
idle_bias,4.563,2.81,-158.983868
idle_bias,4.739,2.98,-158.983868
idle_bias,4.914,3.16,-158.983868
idle_bias,5.090,3.33,-158.983868
idle_bias,5.265,3.51,-158.983868
idle_penalty,-1000.901,-2001.80,-191.613868
idle_penalty,-900.811,-1901.71,-191.613868
idle_penalty,-800.721,-1801.62,-191.613868
idle_penalty,-700.631,-1701.53,-191.613868
idle_penalty,-600.541,-1601.44,-191.613868
idle_penalty,-500.451,-1501.35,-191.613868
idle_penalty,-400.360,-1401.26,-191.613868
idle_penalty,-300.270,-1301.17,-191.613868
idle_penalty,-200.180,-1201.08,-191.613868
idle_penalty,-100.090,-1100.99,-191.613868
idle_penalty,0.000,-1000.90,-191.613868
idle_penalty,100.090,-900.81,-191.613868
idle_penalty,200.180,-800.72,-191.613868
idle_penalty,300.270,-700.63,-168.293868
