iter,reward_mean,reward_std,reward_max,best_goal_rate,best_collision_rate,best_timeup_rate,best_avg_steps,best_avg_task_completion,v0
1,-770.3935546875,144.4562530517578,-522.7720947265625,0.0,0.6499999761581421,0.3499999940395355,61.70000076293945,8.600000381469727,2.371673583984375
2,-543.93115234375,46.52606201171875,-460.23602294921875,0.0,0.6000000238418579,0.4000000059604645,69.69999694824219,9.550000190734863,2.4051477909088135
3,-480.7393798828125,67.42072296142578,-378.88739013671875,0.0,0.550000011920929,0.44999998807907104,80.5,11.399999618530273,2.432935953140259
4,-464.8206787109375,41.11875915527344,-386.02789306640625,0.0,0.550000011920929,0.44999998807907104,82.5999984741211,9.949999809265137,2.463198661804199
5,-485.2040100097656,28.622201919555664,-440.66351318359375,0.0,0.550000011920929,0.44999998807907104,69.1500015258789,9.199999809265137,2.5217201709747314
6,-437.5074462890625,56.26567840576172,-325.31036376953125,0.0,0.4000000059604645,0.6000000238418579,80.94999694824219,9.100000381469727,2.52664852142334
7,-492.7796630859375,57.31005859375,-354.95989990234375,0.0,0.5,0.5,81.05000305175781,11.100000381469727,2.570622205734253
8,-493.6697998046875,79.13495635986328,-346.4464111328125,0.0,0.5,0.5,84.05000305175781,10.899999618530273,2.601283073425293
9,-569.795166015625,94.48126983642578,-376.07611083984375,0.0,0.5,0.5,77.44999694824219,10.25,2.648409843444824
10,-508.40399169921875,41.967655181884766,-433.53826904296875,0.0,0.6000000238418579,0.4000000059604645,74.75,10.449999809265137,2.6928930282592773
11,-582.4028930664062,54.87150955200195,-510.3567810058594,0.0,0.6499999761581421,0.3499999940395355,65.0999984741211,8.649999618530273,2.7016398906707764
12,-545.9674072265625,78.01158142089844,-394.4432067871094,0.0,0.550000011920929,0.44999998807907104,79.19999694824219,10.300000190734863,2.766193151473999
13,-471.5357666015625,40.82452392578125,-379.4522399902344,0.0,0.5,0.5,77.19999694824219,10.0,2.8596556186676025
14,-444.26153564453125,102.40936279296875,49.0,0.0,0.0,1.0,111.0,16.0,3.043318033218384
15,-192.4781036376953,300.1110534667969,66.5,0.0,0.0,1.0,111.0,17.75,3.4188523292541504
16,16.652223587036133,15.561461448669434,42.0,0.0,0.0,1.0,111.0,15.300000190734863,3.3404219150543213
17,49.64933776855469,10.803391456604004,69.5,0.0,0.0,1.0,111.0,18.049999237060547,3.292935848236084
18,63.484375,6.875550270080566,74.5,0.0,0.0,1.0,111.0,18.549999237060547,3.2280726432800293
